IDfg,Season,Name,Team,Age,IBB,SO,SB,BU,BABIP,IFH%,WAR,Spd,PH,CB%,O-Contact%,wGDP,Oppo%,OBP+,SLG+,Pull%+,Soft%+,Hard%+,L-WAR
9892,2017,Jay Bruce,- - -,0.42307692307692313,0.0,0.6093023255813953,0.01282051282051282,0.011235955056179775,0.3944223107569723,0.1528925619834711,0.36645962732919257,0.25773195876288657,0.024096385542168676,0.5735294117647058,0.5289017341040463,0.611111111111111,0.2573726541554962,0.3571428571428571,0.4820143884892087,0.5775862068965517,0.2134831460674157,0.6326530612244897,0.3726708074534162
9892,2018,Jay Bruce,NYM,0.46153846153846145,0.03333333333333333,0.3116279069767442,0.02564102564102564,0.0,0.350597609561753,0.0,0.1863354037267081,0.23711340206185566,0.10843373493975904,0.42647058823529405,0.5303468208092484,0.6574074074074073,0.18230563002680988,0.33333333333333337,0.2805755395683453,0.5862068965517241,0.3595505617977528,0.40816326530612246,0.2111801242236025
9893,2009,Colby Rasmus,STL,0.11538461538461542,0.025,0.4046511627906977,0.038461538461538464,0.15730337078651685,0.42629482071713143,0.25619834710743805,0.3788819875776398,0.4123711340206185,0.24096385542168675,0.38235294117647056,0.41907514450867045,0.7314814814814814,0.40482573726541576,0.3015873015873016,0.33093525179856115,0.5,0.2752808988764045,0.5986394557823129,0.3788819875776398
9893,2010,Colby Rasmus,STL,0.15384615384615385,0.075,0.6511627906976744,0.15384615384615385,0.033707865168539325,0.7131474103585657,0.20247933884297523,0.4596273291925466,0.5154639175257731,0.1927710843373494,0.5073529411764706,0.49710982658959535,0.6944444444444444,0.29758713136729215,0.4444444444444444,0.5107913669064748,0.5775862068965517,0.398876404494382,0.564625850340136,0.4596273291925466
9893,2011,Colby Rasmus,- - -,0.1923076923076923,0.016666666666666666,0.5023255813953488,0.0641025641025641,0.0898876404494382,0.3665338645418329,0.06611570247933884,0.2422360248447205,0.597938144329897,0.060240963855421686,0.5735294117647058,0.5491329479768785,0.5648148148148148,0.3672922252010726,0.3015873015873016,0.33812949640287765,0.6465517241379309,0.4887640449438202,0.6802721088435374,0.2422360248447205
9893,2012,Colby Rasmus,TOR,0.23076923076923073,0.041666666666666664,0.6558139534883721,0.05128205128205128,0.11235955056179775,0.33466135458167334,0.23966942148760292,0.2857142857142857,0.44329896907216493,0.07228915662650603,0.5955882352941176,0.5867052023121386,0.6388888888888888,0.31903485254691705,0.2936507936507936,0.33812949640287765,0.5689655172413793,0.4325842696629213,0.619047619047619,0.2857142857142857
9893,2013,Colby Rasmus,TOR,0.26923076923076916,0.0,0.5906976744186047,0.0,0.011235955056179775,0.7211155378486055,0.17768595041322316,0.453416149068323,0.18556701030927833,0.04819277108433735,0.8602941176470589,0.4884393063583814,0.6944444444444444,0.3243967828418232,0.4126984126984127,0.5323741007194245,0.603448275862069,0.3764044943820224,0.6530612244897959,0.453416149068323
9893,2014,Colby Rasmus,TOR,0.3076923076923077,0.016666666666666666,0.5395348837209303,0.05128205128205128,0.033707865168539325,0.47410358565737043,0.11157024793388431,0.30434782608695654,0.44329896907216493,0.16867469879518074,0.4632352941176471,0.4060693641618497,0.7314814814814814,0.23324396782841844,0.3015873015873016,0.4676258992805756,0.706896551724138,0.3089887640449438,0.7346938775510203,0.30434782608695654
9893,2015,Colby Rasmus,HOU,0.34615384615384626,0.0,0.6790697674418604,0.02564102564102564,0.07865168539325842,0.5179282868525897,0.15702479338842976,0.391304347826087,0.36082474226804123,0.14457831325301207,0.5073529411764706,0.4450867052023121,0.6574074074074073,0.23056300268096513,0.3650793650793651,0.4676258992805756,0.7413793103448275,0.3539325842696629,0.5986394557823129,0.391304347826087
9911,2012,Chris Carter,OAK,0.23076923076923073,0.008333333333333333,0.3488372093023256,0.0,0.0,0.47808764940239035,0.2644628099173554,0.30434782608695654,0.13402061855670103,0.08433734939759037,0.6323529411764706,0.38005780346820806,0.574074074074074,0.27077747989276163,0.4444444444444444,0.539568345323741,0.6982758620689654,0.4157303370786517,0.5918367346938775,0.30434782608695654
9911,2013,Chris Carter,HOU,0.26923076923076916,0.008333333333333333,0.9488372093023255,0.02564102564102564,0.0,0.5418326693227092,0.13636363636363638,0.2422360248447205,0.29896907216494845,0.060240963855421686,0.30147058823529416,0.3395953757225434,0.6296296296296295,0.1903485254691692,0.373015873015873,0.43884892086330934,0.7413793103448275,0.4101123595505618,0.6666666666666666,0.2422360248447205
9911,2014,Chris Carter,HOU,0.3076923076923077,0.05,0.8093023255813954,0.0641025641025641,0.0,0.3665338645418329,0.2768595041322314,0.32919254658385094,0.3092783505154639,0.08433734939759037,0.3602941176470589,0.315028901734104,0.5555555555555555,0.27613941018766747,0.3492063492063492,0.5467625899280575,0.6293103448275862,0.398876404494382,0.6802721088435374,0.32919254658385094
9911,2015,Chris Carter,HOU,0.34615384615384626,0.008333333333333333,0.6651162790697674,0.01282051282051282,0.0,0.2749003984063746,0.3966942148760331,0.2298136645962733,0.1443298969072165,0.16867469879518074,0.13970588235294118,0.33670520231213874,0.6481481481481481,0.3458445040214479,0.3412698412698413,0.381294964028777,0.4568965517241379,0.3146067415730337,0.6530612244897959,0.2298136645962733
9911,2016,Chris Carter,MIL,0.3846153846153846,0.008333333333333333,0.9209302325581395,0.038461538461538464,0.0,0.33864541832669326,0.2603305785123967,0.32919254658385094,0.28865979381443296,0.060240963855421686,0.30147058823529416,0.29768786127167624,0.4351851851851851,0.3029490616621983,0.3492063492063492,0.4820143884892087,0.4568965517241379,0.3033707865168539,0.6394557823129251,0.2732919254658385
9927,2009,Brett Gardner,NYY,0.23076923076923073,0.0,0.14883720930232558,0.3333333333333333,0.12359550561797752,0.5418326693227092,0.6611570247933886,0.35403726708074534,0.9381443298969071,0.07228915662650603,0.3161764705882353,0.7601156069364161,0.611111111111111,0.47453083109919586,0.39682539682539686,0.2733812949640288,0.3706896551724138,0.6853932584269663,0.1904761904761905,0.35403726708074534
9927,2010,Brett Gardner,NYY,0.26923076923076916,0.008333333333333333,0.4325581395348837,0.6025641025641025,0.21348314606741572,0.657370517928287,0.5495867768595042,0.5962732919254659,0.8247422680412371,0.03614457831325302,0.23529411764705888,0.7658959537572254,0.6666666666666666,0.6809651474530831,0.5079365079365079,0.30935251798561153,0.18103448275862066,0.8258426966292134,0.1904761904761905,0.5962732919254659
9927,2011,Brett Gardner,NYY,0.3076923076923077,0.008333333333333333,0.3953488372093023,0.6282051282051282,0.33707865168539325,0.5099601593625499,0.4380165289256199,0.5279503105590062,0.8453608247422681,0.024096385542168676,0.375,0.9046242774566475,0.6574074074074073,0.47453083109919586,0.4285714285714286,0.2877697841726619,0.3706896551724138,0.601123595505618,0.22448979591836735,0.5279503105590062
9927,2013,Brett Gardner,NYY,0.3846153846153846,0.008333333333333333,0.5534883720930233,0.3076923076923077,0.2584269662921348,0.6653386454183269,0.30165289256198347,0.4161490683229814,0.7525773195876289,0.10843373493975904,0.4338235294117647,0.8439306358381502,0.6203703703703703,0.45844504021447735,0.4285714285714286,0.3741007194244604,0.4051724137931034,0.5224719101123595,0.346938775510204,0.4161490683229814
9927,2014,Brett Gardner,NYY,0.42307692307692313,0.0,0.586046511627907,0.2692307692307692,0.20224719101123595,0.5179282868525897,0.42148760330578516,0.4161490683229814,0.731958762886598,0.03614457831325302,0.3970588235294118,0.7557803468208093,0.7129629629629629,0.3458445040214479,0.39682539682539686,0.4172661870503597,0.4568965517241379,0.4157303370786517,0.4625850340136054,0.4161490683229814
